CAN_ID,Timestamp,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8
392,16777210,FE,0,0,0,0,0,0,0
904,16777209,0,0,0,0,0,0,0,C
1160,16777208,0,0,0,0,0,0,0,0
3,16777203,0,0,22,0,0,0,0,34
512,16777079,0,0,0,0,0,0,0,0
513,16777079,0,0,0,0,0,0,0,0
512,16777079,0,0,0,0,0,0,0,0
513,16777078,0,0,0,0,0,0,0,0
512,16777078,0,0,0,0,0,0,0,0
1574,16777060,0,0,0,0,0,0,0,0
1894,16777060,0,0,0,0,0,0,0,0
1574,16777059,1,0,0,0,0,0,0,0
1894,16777059,0,0,0,0,0,0,0,0
1574,16777058,1,0,0,0,0,0,0,0
1894,16777058,0,0,0,0,0,0,0,0
1574,16777057,1,0,0,0,0,0,0,0
1894,16777057,0,0,0,0,0,0,0,0
1574,16777056,1,0,0,0,0,0,0,0
1894,16777055,0,0,0,0,0,0,0,0
1574,16777054,1,0,0,0,0,0,0,0
1894,16777054,0,0,0,0,0,0,0,0
1574,16777053,1,0,0,0,0,0,0,0
1894,16777053,0,0,0,0,0,0,0,0
1574,16777052,1,0,0,0,0,0,0,0
1894,16777052,0,0,0,0,0,0,0,0
1574,16777051,1,0,0,0,0,0,0,0
1894,16777051,0,0,0,0,0,0,0,0
1574,16777050,1,0,0,0,0,0,0,0
1894,16777050,0,0,0,0,0,0,0,0
1574,16777049,1,0,0,0,0,0,0,0
1894,16777048,0,0,0,0,0,0,0,0
1574,16777047,1,0,0,0,0,0,0,0
1894,16777047,0,0,0,0,0,0,0,0
1574,16777046,1,0,0,0,0,0,0,0
1894,16777046,0,0,0,0,0,0,0,0
1574,16777045,1,0,0,0,0,0,0,0
1894,16777045,0,0,0,0,0,0,0,0
1574,16777044,1,0,0,0,0,0,0,0
1894,16777044,0,0,0,0,0,0,0,0
1574,16777043,1,0,0,0,0,0,0,0
1894,16777043,0,0,0,0,0,0,0,0
1574,16777042,1,0,0,0,0,0,0,0
1894,16777041,0,0,0,0,0,0,0,0
1574,16777040,1,0,0,0,0,0,0,0
1894,16777040,0,0,0,0,0,0,0,0
1574,16777039,1,0,0,0,0,0,0,0
1894,16777039,0,0,0,0,0,0,0,0
